data,hora,num,ambiente,predição
08/05/2026,16:50:38,66,Lab. de Medição e Calibração,Lab. de Medição e Calibração
08/05/2026,16:50:38,67,Lab. de Medição e Calibração,Lab. de Medição e Calibração
08/05/2026,16:50:38,68,Lab. de Medição e Calibração,Lab. de Medição e Calibração
08/05/2026,16:50:38,69,Lab. de Medição e Calibração,Lab. de Medição e Calibração
08/05/2026,16:50:38,70,Lab. de Medição e Calibração,Lab. de Ciências
08/05/2026,16:50:38,71,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,72,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,73,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,74,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,75,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,76,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,77,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,78,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,79,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,80,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,81,Lab. de redes convergentes,Lab. de redes convergentes
08/05/2026,16:50:38,82,Lab. de redes convergentes,Lab. de redes convergentes
08/05/2026,16:50:38,83,Lab. de redes convergentes,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,84,Lab. de redes convergentes,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,85,Lab. de redes convergentes,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,86,Lab. de redes convergentes,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,87,Lab. de redes convergentes,Lab. de redes convergentes
08/05/2026,16:50:38,88,Lab. de redes convergentes,Lab. de redes convergentes
08/05/2026,16:50:38,89,Lab. de redes convergentes,Lab. de redes convergentes
08/05/2026,16:50:38,90,Lab. de redes convergentes,Lab. de redes convergentes
08/05/2026,16:50:38,91,Lab. de fibras ópticas,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,92,Lab. de fibras ópticas,Lab. de fibras ópticas
08/05/2026,16:50:38,93,Lab. de fibras ópticas,Lab. de redes convergentes
08/05/2026,16:50:38,94,Lab. de fibras ópticas,Lab. de Ciências
08/05/2026,16:50:38,95,Lab. de fibras ópticas,Lab. de fibras ópticas
08/05/2026,16:50:38,96,Lab. de fibras ópticas,Lab. de fibras ópticas
08/05/2026,16:50:38,97,Lab. de fibras ópticas,Lab. de fibras ópticas
08/05/2026,16:50:38,98,Lab. de fibras ópticas,Lab. de fibras ópticas
08/05/2026,16:50:38,99,Lab. de fibras ópticas,Lab. de fibras ópticas
08/05/2026,16:50:38,100,Lab. de fibras ópticas,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,101,Pesquisa em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,102,Pesquisa em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
08/05/2026,16:50:38,103,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,104,Pesquisa em Eng. Elétrica,Práticas didáticas
08/05/2026,16:50:38,105,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,106,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,107,Pesquisa em Eng. Elétrica,Práticas didáticas
08/05/2026,16:50:38,108,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,109,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica
08/05/2026,16:50:38,110,Pesquisa em Eng. Elétrica,Práticas didáticas
08/05/2026,16:50:38,111,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,112,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,113,Práticas didáticas,Auditório de Eng. Elétrica
08/05/2026,16:50:38,114,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,115,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,116,Práticas didáticas,Auditório de Eng. Elétrica
08/05/2026,16:50:38,117,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,118,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,119,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,120,Práticas didáticas,Práticas didáticas
08/05/2026,16:50:38,121,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,122,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,123,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,124,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,125,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,126,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,127,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,128,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,129,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,130,Sala dos professores,Sala dos professores
08/05/2026,16:50:38,131,Lab. química 03,Lab. química 03
08/05/2026,16:50:38,132,Lab. química 03,Lab. química 01
08/05/2026,16:50:38,133,Lab. química 03,Lab. química 01
08/05/2026,16:50:38,134,Lab. química 03,Lab. química 01
08/05/2026,16:50:38,135,Lab. química 03,Lab. química 03
08/05/2026,16:50:38,136,Lab. química 03,Lab. química 03
08/05/2026,16:50:38,137,Lab. química 03,Lab. química 01
08/05/2026,16:50:38,138,Lab. química 03,Lab. química 03
08/05/2026,16:50:38,139,Lab. química 03,Lab. química 03
08/05/2026,16:50:38,140,Lab. química 03,Lab. química 03
08/05/2026,16:50:38,141,Lab. química 01,Lab. de Ciências
08/05/2026,16:50:38,142,Lab. química 01,Lab. química 01
08/05/2026,16:50:38,143,Lab. química 01,Lab. química 01
08/05/2026,16:50:38,144,Lab. química 01,Lab. química 01
08/05/2026,16:50:38,145,Lab. química 01,Lab. química 01
08/05/2026,16:50:38,146,Lab. química 01,Lab. Analítico
08/05/2026,16:50:38,147,Lab. química 01,Lab. química 01
08/05/2026,16:50:38,148,Lab. química 01,Lab. química 01
08/05/2026,16:50:38,149,Lab. química 01,Lab. Analítico
08/05/2026,16:50:38,150,Lab. química 01,Lab. química 01
08/05/2026,16:50:38,151,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,152,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,153,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,154,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,155,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,156,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,157,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,158,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,159,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,160,Lab. Analítico,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,161,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,162,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,163,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,164,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,165,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,166,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,167,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,168,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,169,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,170,Lab. de Ciências,Lab. de Ciências
08/05/2026,16:50:38,171,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,172,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,173,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,174,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,175,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,176,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,177,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,178,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,179,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
08/05/2026,16:50:38,180,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
