data,hora,num,ambiente,ssid,bssid,rssi,canal
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-86,1
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-86,1
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-86,6
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-87,6
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-88,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-59,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-59,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-84,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-85,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-86,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-87,1
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-88,1
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-88,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-89,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-90,6
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-60,11
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-60,11
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-85,1
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-85,6
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-86,1
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-86,6
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-86,11
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-87,6
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-87,6
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-87,11
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-VISITANTE,2c:57:41:d4:69:c2,-88,1
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-59,11
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-59,11
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-85,1
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-86,1
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-87,6
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-87,6
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-88,6
08/05/2026,07:05:36,9,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-88,6
08/05/2026,07:05:46,10,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-58,11
08/05/2026,07:05:46,10,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-58,11
08/05/2026,07:05:46,10,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-86,6
08/05/2026,07:05:46,10,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-87,1
08/05/2026,07:05:46,10,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-87,6
08/05/2026,07:05:46,10,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-88,1
08/05/2026,07:05:47,10,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-88,6
08/05/2026,07:05:47,10,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-88,6
