data,hora,num,ambiente,ssid,bssid,rssi,canal
22/04/2026,07:24:53,3,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-68,10
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-70,1
22/04/2026,07:24:53,3,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-79,6
22/04/2026,07:24:53,3,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-80,4
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-80,11
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-80,11
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-83,1
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-84,1
22/04/2026,07:24:53,3,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-84,11
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-86,1
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-86,1
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-86,1
22/04/2026,07:24:53,3,Lab. Informática 09,IFPB-Sala_13,E8:94:F6:B9:2F:46,-90,6
22/04/2026,07:24:53,3,Lab. Informática 09,LIMPEZA,54:E6:FC:CF:22:DE,-92,6
22/04/2026,07:24:53,3,Lab. Informática 09,UA2-MiniLab,60:32:B1:2D:66:C3,-92,10
22/04/2026,07:24:53,3,Lab. Informática 09,SALA_MESTRADO,64:66:B3:62:EB:86,-93,1
22/04/2026,07:24:53,3,Lab. Informática 09,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-95,9
22/04/2026,07:25:03,4,Lab. Informática 09,APTelefonia,58:10:8C:91:F3:AA,-61,1
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB TCC,D8:5D:4C:86:7E:66,-62,1
22/04/2026,07:25:03,4,Lab. Informática 09,Intelbras,18:0D:2C:7F:EB:AC,-62,7
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-62,11
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-62,11
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-63,5
22/04/2026,07:25:03,4,Lab. Informática 09,TP-Link_1324,7C:F1:7E:8D:13:22,-70,10
22/04/2026,07:25:03,4,Lab. Informática 09,GPDS,00:26:5A:66:55:EF,-75,6
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-78,11
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-79,11
22/04/2026,07:25:03,4,Lab. Informática 09,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-81,4
22/04/2026,07:25:03,4,Lab. Informática 09,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-81,11
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-84,1
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-86,1
22/04/2026,07:25:03,4,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-86,1
