data,hora,num,ambiente,ssid,bssid,rssi,canal
08/05/2026,07:04:55,5,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-62,11
08/05/2026,07:04:55,5,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-66,5
08/05/2026,07:04:56,5,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-67,10
08/05/2026,07:04:56,5,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-71,7
08/05/2026,07:04:56,5,Lab. Informática 09,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-79,4
08/05/2026,07:04:56,5,Lab. Informática 09,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-81,11
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-84,2
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-85,6
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-85,6
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-85,6
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-86,1
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-86,6
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-87,1
08/05/2026,07:04:56,5,Lab. Informática 09,UA2-MiniLab,60:32:b1:2d:66:c3,-87,10
08/05/2026,07:04:56,5,Lab. Informática 09,PeterNetwork,1e:1d:49:86:2d:8e,-88,11
08/05/2026,07:04:56,5,Lab. Informática 09,GPDS,00:26:5a:66:55:ef,-89,6
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:f9:82,-89,11
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-89,11
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB-Sala_13,e8:94:f6:b9:2f:46,-90,6
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-90,11
08/05/2026,07:04:56,5,Lab. Informática 09,Kauan,5e:df:7d:dd:ee:05,-91,1
08/05/2026,07:04:56,5,Lab. Informática 09,IFPB,84:f1:47:54:f9:80,-91,11
08/05/2026,07:04:56,5,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:fe:f4,-92,6
08/05/2026,07:04:56,5,Lab. Informática 09,LIMPEZA,54:e6:fc:cf:22:de,-94,6
08/05/2026,07:04:56,5,Lab. Informática 09,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-94,9
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB TCC,d8:5d:4c:86:7e:66,-56,1
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-59,11
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-59,11
08/05/2026,07:05:06,6,Lab. Informática 09,APTelefonia,58:10:8c:91:f3:aa,-60,1
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-63,5
08/05/2026,07:05:06,6,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-69,10
08/05/2026,07:05:06,6,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-70,7
08/05/2026,07:05:06,6,Lab. Informática 09,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-73,4
08/05/2026,07:05:06,6,Lab. Informática 09,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-81,9
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-83,2
08/05/2026,07:05:06,6,Lab. Informática 09,GPDS,00:26:5a:66:55:ef,-84,6
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-86,1
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-86,1
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-86,6
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-Sala_13,e8:94:f6:b9:2f:46,-87,6
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-87,6
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:05:06,6,Lab. Informática 09,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-88,11
08/05/2026,07:05:06,6,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-88,11
08/05/2026,07:05:06,6,Lab. Informática 09,UA2-MiniLab,60:32:b1:2d:66:c3,-89,10
08/05/2026,07:05:06,6,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:fe:f4,-92,6
08/05/2026,07:05:06,6,Lab. Informática 09,Kauan,5e:df:7d:dd:ee:05,-94,1
08/05/2026,07:05:06,6,Lab. Informática 09,PeterNetwork,1e:1d:49:86:2d:8e,-95,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB TCC,d8:5d:4c:86:7e:66,-57,1
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-59,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-59,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-60,5
08/05/2026,07:05:16,7,Lab. Informática 09,APTelefonia,58:10:8c:91:f3:aa,-62,1
08/05/2026,07:05:16,7,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-71,10
08/05/2026,07:05:16,7,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-72,7
08/05/2026,07:05:16,7,Lab. Informática 09,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-79,4
08/05/2026,07:05:16,7,Lab. Informática 09,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-80,9
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,84:f1:47:54:fd:c0,-84,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:fd:c2,-85,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-86,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-87,1
08/05/2026,07:05:16,7,Lab. Informática 09,UA2-MiniLab,60:32:b1:2d:66:c3,-87,10
08/05/2026,07:05:16,7,Lab. Informática 09,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-87,11
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:96:e2,-88,1
08/05/2026,07:05:16,7,Lab. Informática 09,Kauan,5e:df:7d:dd:ee:05,-88,1
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-88,2
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-88,11
08/05/2026,07:05:16,7,Lab. Informática 09,GPDS,00:26:5a:66:55:ef,-89,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-89,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB,b8:11:4b:1d:1e:40,-90,6
08/05/2026,07:05:16,7,Lab. Informática 09,Lab Redes Convergentes,64:70:02:99:fe:f4,-91,6
08/05/2026,07:05:16,7,Lab. Informática 09,IFPB-Sala_13,e8:94:f6:b9:2f:46,-93,6
08/05/2026,07:05:16,7,Lab. Informática 09,LIMPEZA,54:e6:fc:cf:22:de,-93,6
08/05/2026,07:05:16,7,Lab. Informática 09,PeterNetwork,1e:1d:49:86:2d:8e,-95,11
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB TCC,d8:5d:4c:86:7e:66,-56,1
08/05/2026,07:05:26,8,Lab. Informática 09,APTelefonia,58:10:8c:91:f3:aa,-60,1
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB,84:f1:47:54:7f:20,-60,11
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-VISITANTE,84:f1:47:54:7f:22,-60,11
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-61,5
08/05/2026,07:05:26,8,Lab. Informática 09,Intelbras,18:0d:2c:7f:eb:ac,-70,7
08/05/2026,07:05:26,8,Lab. Informática 09,TP-Link_1324,7c:f1:7e:8d:13:22,-71,10
08/05/2026,07:05:26,8,Lab. Informática 09,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-80,9
08/05/2026,07:05:26,8,Lab. Informática 09,GPDS,00:26:5a:66:55:ef,-82,6
08/05/2026,07:05:26,8,Lab. Informática 09,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-83,4
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB,84:f1:47:54:96:e0,-85,1
08/05/2026,07:05:26,8,Lab. Informática 09,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-85,2
