data,hora,num,local,ssid,bssid,rssi,canal
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-52,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-53,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-78,6
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-86,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-86,11
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-87,1
24/04/2026,07:01:57,1,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-88,1
24/04/2026,07:01:58,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-89,1
24/04/2026,07:01:58,1,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-89,1
24/04/2026,07:01:58,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-89,1
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-46,11
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-46,11
24/04/2026,07:02:07,2,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-79,6
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-84,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-87,11
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-88,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-89,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-89,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB,84:F1:47:54:71:00,-89,1
24/04/2026,07:02:08,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-44,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-44,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-77,6
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-77,6
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-86,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-86,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-86,11
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-88,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-88,1
24/04/2026,07:02:18,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-45,11
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-45,11
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-79,6
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-85,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-86,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-87,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-88,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:71:02,-88,1
24/04/2026,07:02:28,4,Lab. Informática 09,IFPB,84:F1:47:54:71:00,-89,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-45,11
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-46,11
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-78,6
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-83,11
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-83,11
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-85,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-86,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-87,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:38,5,Lab. Informática 09,IFPB,84:F1:47:54:71:00,-89,1
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-45,11
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-45,11
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-77,6
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-87,1
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-89,1
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-89,1
24/04/2026,07:02:48,6,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-90,11
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-44,11
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-44,11
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-77,6
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-77,6
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-86,1
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-87,1
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-87,1
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB,84:F1:47:54:71:00,-87,1
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-87,1
24/04/2026,07:02:58,7,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
24/04/2026,07:02:59,7,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-45,11
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-45,11
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-77,6
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-77,6
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-88,1
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-88,1
24/04/2026,07:03:08,8,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-88,11
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-51,11
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-51,11
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-76,6
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-76,6
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-83,1
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-86,11
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-87,1
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-88,1
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB,84:F1:47:54:71:00,-89,1
24/04/2026,07:03:18,9,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-89,1
24/04/2026,07:03:19,9,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-89,11
24/04/2026,07:03:28,10,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-50,11
24/04/2026,07:03:28,10,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-51,11
24/04/2026,07:03:28,10,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-77,6
24/04/2026,07:03:28,10,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-78,6
24/04/2026,07:03:28,10,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-86,1
24/04/2026,07:03:28,10,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11
24/04/2026,07:03:28,10,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-88,1
