data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:56:48,29,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-63,11,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:48,29,IFPB-VISITANTE,24:36:da:2b:bc:02,-79,6,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:48,29,IFPB,24:36:da:2b:bc:00,-80,6,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:48,29,IFPB,84:f1:47:54:96:e0,-88,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:48,29,IFPB-VISITANTE,84:f1:47:54:96:e2,-89,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:48,29,IFPB,84:f1:47:54:eb:20,-89,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:48,29,IFPB-VISITANTE,84:f1:47:54:eb:22,-89,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB,e4:4e:2d:85:4c:60,-63,11,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-63,11,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB,24:36:da:2b:bc:00,-79,6,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB-VISITANTE,24:36:da:2b:bc:02,-79,6,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB-VISITANTE,84:f1:47:54:96:e2,-87,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB,84:f1:47:54:96:e0,-88,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB,84:f1:47:54:eb:20,-89,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:56:57,30,IFPB-VISITANTE,84:f1:47:54:eb:22,-90,1,Lab. de redes convergentes,Donkey,6
18/11/2025,06:57:34,31,IFPB,e4:4e:2d:85:4c:60,-65,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:34,31,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-65,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:34,31,IFPB-VISITANTE,84:f1:47:54:96:e2,-79,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:34,31,IFPB,84:f1:47:54:96:e0,-80,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:34,31,IFPB,24:36:da:2b:bc:00,-81,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:34,31,IFPB-VISITANTE,24:36:da:2b:bc:02,-81,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:34,31,IFPB-VISITANTE,84:f1:47:54:8b:a2,-85,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:34,31,IFPB,84:f1:47:54:8b:a0,-86,11,Lab. de fibras ópticas,Sheep,7
