data,hora,num,ssid,bssid,rssi,canal,ambiente
17/03/2026,10:37:03,21,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-89,6,Lab. de telecomunicações
17/03/2026,10:37:03,21,IFPB,B8:11:4B:1D:1E:40,-89,6,Lab. de telecomunicações
17/03/2026,10:37:03,21,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-89,11,Lab. de telecomunicações
17/03/2026,10:37:03,21,IFPB,E4:4E:2D:85:4C:60,-90,11,Lab. de telecomunicações
17/03/2026,10:37:03,21,IFPB-VISITANTE,84:F1:47:54:95:E2,-90,11,Lab. de telecomunicações
17/03/2026,10:37:03,21,IFPB,84:F1:47:54:95:E0,-91,11,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB,84:F1:47:54:FD:C0,-75,1,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB-VISITANTE,84:F1:47:54:FD:C2,-76,1,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB,84:F1:47:54:7F:20,-77,11,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB-VISITANTE,84:F1:47:54:7F:22,-77,11,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB,84:F1:47:54:96:E0,-83,1,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB-VISITANTE,84:F1:47:54:71:02,-84,1,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB,84:F1:47:54:71:00,-84,1,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB,B8:11:4B:1D:1E:40,-89,6,Lab. de telecomunicações
17/03/2026,10:37:13,22,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-89,6,Lab. de telecomunicações
17/03/2026,10:37:23,23,IFPB,84:F1:47:54:FD:C0,-78,1,Lab. de telecomunicações
17/03/2026,10:37:23,23,IFPB-VISITANTE,84:F1:47:54:FD:C2,-79,1,Lab. de telecomunicações
17/03/2026,10:37:23,23,IFPB,84:F1:47:54:7F:20,-79,11,Lab. de telecomunicações
17/03/2026,10:37:23,23,IFPB-VISITANTE,84:F1:47:54:7F:22,-79,11,Lab. de telecomunicações
17/03/2026,10:37:23,23,IFPB,84:F1:47:54:96:E0,-86,1,Lab. de telecomunicações
17/03/2026,10:37:23,23,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1,Lab. de telecomunicações
17/03/2026,10:37:24,23,IFPB-VISITANTE,84:F1:47:54:71:02,-87,1,Lab. de telecomunicações
17/03/2026,10:37:24,23,IFPB,2C:57:41:D4:69:C0,-89,6,Lab. de telecomunicações
17/03/2026,10:37:24,23,IFPB,E4:4E:2D:85:4C:60,-89,11,Lab. de telecomunicações
17/03/2026,10:37:24,23,IFPB,84:F1:47:54:71:00,-90,1,Lab. de telecomunicações
17/03/2026,10:37:24,23,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-90,11,Lab. de telecomunicações
17/03/2026,10:37:33,24,IFPB,84:F1:47:54:FD:C0,-73,1,Lab. de telecomunicações
17/03/2026,10:37:33,24,IFPB-VISITANTE,84:F1:47:54:FD:C2,-73,1,Lab. de telecomunicações
17/03/2026,10:37:33,24,IFPB,84:F1:47:54:7F:20,-76,11,Lab. de telecomunicações
17/03/2026,10:37:33,24,IFPB-VISITANTE,84:F1:47:54:7F:22,-78,11,Lab. de telecomunicações
17/03/2026,10:37:34,24,IFPB,84:F1:47:54:71:00,-81,1,Lab. de telecomunicações
17/03/2026,10:37:34,24,IFPB-VISITANTE,84:F1:47:54:71:02,-81,1,Lab. de telecomunicações
17/03/2026,10:37:34,24,IFPB-VISITANTE,2C:57:41:D4:69:C2,-83,6,Lab. de telecomunicações
