data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:49:06,3,IFPB,24:36:da:2b:bc:00,-77,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:06,3,IFPB-VISITANTE,24:36:da:2b:bc:02,-77,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:06,3,IFPB TCC,d8:5d:4c:86:7e:66,-87,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:06,3,GPDS,00:26:5a:66:55:ef,-87,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:06,3,LIMPEZA,54:e6:fc:cf:22:de,-89,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:06,3,UA2-MiniLab,60:32:b1:2d:66:c3,-90,10,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:06,3,IFPB-VISITANTE,84:f1:47:54:8b:a2,-90,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:06,3,IFPB,84:f1:47:54:8b:a0,-91,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,TP-Link_1324,7c:f1:7e:8d:13:22,-57,3,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,APTelefonia,58:10:8c:91:f3:aa,-58,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,Asterisk Server,18:0d:2c:7f:f5:9c,-65,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,Intelbras,18:0d:2c:7f:eb:ac,-73,7,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-74,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB,84:f1:47:54:96:e0,-77,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB-VISITANTE,84:f1:47:54:96:e2,-77,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB,24:36:da:2b:bc:00,-77,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB-VISITANTE,24:36:da:2b:bc:02,-77,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB,e4:4e:2d:85:4c:60,-80,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-80,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-85,2,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,UA2-MiniLab,60:32:b1:2d:66:c3,-86,10,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,IFPB TCC,d8:5d:4c:86:7e:66,-87,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,GPDS,00:26:5a:66:55:ef,-88,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:15,4,LIMPEZA,54:e6:fc:cf:22:de,-96,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,TP-Link_1324,7c:f1:7e:8d:13:22,-51,3,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,APTelefonia,58:10:8c:91:f3:aa,-58,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,Asterisk Server,18:0d:2c:7f:f5:9c,-63,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB,84:f1:47:54:96:e0,-76,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB-VISITANTE,84:f1:47:54:96:e2,-76,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB,e4:4e:2d:85:4c:60,-76,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-76,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-77,11,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB-VISITANTE,24:36:da:2b:bc:02,-78,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,Intelbras,18:0d:2c:7f:eb:ac,-78,7,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB,24:36:da:2b:bc:00,-79,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-84,2,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,GPDS,00:26:5a:66:55:ef,-87,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB-VISITANTE,84:f1:47:54:6b:82,-89,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB,84:f1:47:54:6b:80,-90,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,IFPB TCC,d8:5d:4c:86:7e:66,-91,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,LIMPEZA,54:e6:fc:cf:22:de,-91,6,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,UA2-MiniLab,60:32:b1:2d:66:c3,-91,10,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:24,5,NPEF/NEPA,50:c7:bf:ef:56:8a,-94,1,Lab. de medições em telecomunicações,Cow,1
18/11/2025,06:49:59,6,TP-Link_1324,7c:f1:7e:8d:13:22,-49,3,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,APTelefonia,58:10:8c:91:f3:aa,-56,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB,84:f1:47:54:96:e0,-56,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-VISITANTE,84:f1:47:54:96:e2,-57,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,Intelbras,18:0d:2c:7f:eb:ac,-66,7,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB,24:36:da:2b:bc:00,-75,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-VISITANTE,24:36:da:2b:bc:02,-75,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB,84:f1:47:54:6b:80,-79,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-VISITANTE,84:f1:47:54:6b:82,-79,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-80,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB,e4:4e:2d:85:4c:60,-80,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-80,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-VISITANTE,84:f1:47:54:8b:a2,-87,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-88,4,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB,84:f1:47:54:f9:80,-88,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,GPDS,00:26:5a:66:55:ef,-88,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB,84:f1:47:54:8b:a0,-88,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-89,2,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-VISITANTE,84:f1:47:54:f9:82,-89,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB TCC,d8:5d:4c:86:7e:66,-91,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,UA2-MiniLab,60:32:b1:2d:66:c3,-92,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,NPEF/NEPA,50:c7:bf:ef:56:8a,-95,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:49:59,6,IFPB-Sala_13,e8:94:f6:b9:2f:46,-95,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,TP-Link_1324,7c:f1:7e:8d:13:22,-53,3,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB,84:f1:47:54:96:e0,-58,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-VISITANTE,84:f1:47:54:96:e2,-58,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,APTelefonia,58:10:8c:91:f3:aa,-61,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,Intelbras,18:0d:2c:7f:eb:ac,-64,7,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB,24:36:da:2b:bc:00,-73,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-VISITANTE,24:36:da:2b:bc:02,-73,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-74,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB,84:f1:47:54:6b:80,-77,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-VISITANTE,84:f1:47:54:6b:82,-77,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-82,4,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB,e4:4e:2d:85:4c:60,-82,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-83,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,GPDS,00:26:5a:66:55:ef,-84,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB,84:f1:47:54:8b:a0,-85,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB,84:f1:47:54:f9:80,-86,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-VISITANTE,84:f1:47:54:f9:82,-87,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-VISITANTE,84:f1:47:54:8b:a2,-87,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-90,2,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,UA2-MiniLab,60:32:b1:2d:66:c3,-94,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,IFPB-Sala_13,e8:94:f6:b9:2f:46,-95,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:08,7,NUNYA_Room_2.4GHz,cc:32:e5:0c:fc:2b,-96,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,TP-Link_1324,7c:f1:7e:8d:13:22,-55,3,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB,84:f1:47:54:96:e0,-57,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-VISITANTE,84:f1:47:54:96:e2,-57,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,APTelefonia,58:10:8c:91:f3:aa,-59,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,Intelbras,18:0d:2c:7f:eb:ac,-66,7,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-VISITANTE,24:36:da:2b:bc:02,-70,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB,24:36:da:2b:bc:00,-71,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-73,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB,84:f1:47:54:6b:80,-79,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-VISITANTE,84:f1:47:54:6b:82,-79,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-80,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB,e4:4e:2d:85:4c:60,-80,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-83,4,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB,84:f1:47:54:f9:80,-84,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-85,2,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,GPDS,00:26:5a:66:55:ef,-85,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-VISITANTE,84:f1:47:54:f9:82,-85,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-VISITANTE,84:f1:47:54:8b:a2,-85,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB,84:f1:47:54:8b:a0,-86,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,NPEF/NEPA,50:c7:bf:ef:56:8a,-87,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,UA2-MiniLab,60:32:b1:2d:66:c3,-91,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB-Sala_13,e8:94:f6:b9:2f:46,-92,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:17,8,IFPB TCC,d8:5d:4c:86:7e:66,-93,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,TP-Link_1324,7c:f1:7e:8d:13:22,-57,3,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB,84:f1:47:54:96:e0,-58,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,APTelefonia,58:10:8c:91:f3:aa,-59,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-VISITANTE,84:f1:47:54:96:e2,-59,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,Asterisk Server,18:0d:2c:7f:f5:9c,-65,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,Intelbras,18:0d:2c:7f:eb:ac,-68,7,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB,24:36:da:2b:bc:00,-71,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-VISITANTE,24:36:da:2b:bc:02,-72,6,Lab. de aferição e calibração,Chicken,2
