data,hora,num,ssid,bssid,rssi,canal,ambiente
17/03/2026,10:33:10,3,APTelefonia,58:10:8C:91:F3:AA,-76,1,Lab. Informática 09
17/03/2026,10:33:10,3,GPDS,00:26:5A:66:55:EF,-77,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-79,5,Lab. Informática 09
17/03/2026,10:33:10,3,TP-Link_1324,7C:F1:7E:8D:13:22,-81,10,Lab. Informática 09
17/03/2026,10:33:10,3,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-84,11,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,84:F1:47:54:FD:C0,-86,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,B8:11:4B:1D:1E:40,-86,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,84:F1:47:54:96:E0,-87,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1,Lab. Informática 09
17/03/2026,10:33:10,3,motorola one hyper_9136,6A:A5:88:F9:66:CE,-88,1,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-Sala_13,E8:94:F6:B9:2F:46,-88,4,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB,E4:4E:2D:85:4C:60,-88,11,Lab. Informática 09
17/03/2026,10:33:10,3,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-89,10,Lab. Informática 09
17/03/2026,10:33:10,3,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-90,6,Lab. Informática 09
17/03/2026,10:33:10,3,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-90,11,Lab. Informática 09
17/03/2026,10:33:10,3,LIMPEZA,54:E6:FC:CF:22:DE,-91,6,Lab. Informática 09
17/03/2026,10:33:10,3,UA2-MiniLab,60:32:B1:2D:66:C3,-91,10,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB TCC,D8:5D:4C:86:7E:66,-61,6,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-VISITANTE,84:F1:47:54:7F:22,-62,11,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-63,2,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB,84:F1:47:54:7F:20,-63,11,Lab. Informática 09
17/03/2026,10:33:20,4,APTelefonia,58:10:8C:91:F3:AA,-69,1,Lab. Informática 09
17/03/2026,10:33:20,4,Intelbras,18:0D:2C:7F:EB:AC,-74,7,Lab. Informática 09
17/03/2026,10:33:20,4,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-78,3,Lab. Informática 09
17/03/2026,10:33:20,4,TP-Link_1324,7C:F1:7E:8D:13:22,-79,10,Lab. Informática 09
17/03/2026,10:33:20,4,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-80,11,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB,B8:11:4B:1D:1E:40,-83,6,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-83,6,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-VISITANTE,84:F1:47:54:96:E2,-84,1,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB,84:F1:47:54:FD:C0,-84,1,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-84,5,Lab. Informática 09
17/03/2026,10:33:20,4,LIMPEZA,54:E6:FC:CF:22:DE,-84,6,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB,84:F1:47:54:96:E0,-85,1,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-Sala_13,E8:94:F6:B9:2F:46,-85,4,Lab. Informática 09
17/03/2026,10:33:20,4,GPDS,00:26:5A:66:55:EF,-86,6,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB,E4:4E:2D:85:4C:60,-87,11,Lab. Informática 09
17/03/2026,10:33:20,4,motorola one hyper_9136,6A:A5:88:F9:66:CE,-88,1,Lab. Informática 09
17/03/2026,10:33:20,4,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-88,6,Lab. Informática 09
17/03/2026,10:33:20,4,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-89,10,Lab. Informática 09
17/03/2026,10:33:20,4,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-89,11,Lab. Informática 09
17/03/2026,10:33:20,4,UA2-MiniLab,60:32:B1:2D:66:C3,-91,10,Lab. Informática 09
17/03/2026,10:33:20,4,Lab Redes Convergentes,64:70:02:99:FE:F4,-91,11,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB-VISITANTE,84:F1:47:54:7F:22,-61,11,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB,84:F1:47:54:7F:20,-62,11,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-63,2,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB TCC,D8:5D:4C:86:7E:66,-63,6,Lab. Informática 09
17/03/2026,10:33:30,5,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-67,3,Lab. Informática 09
17/03/2026,10:33:30,5,APTelefonia,58:10:8C:91:F3:AA,-69,1,Lab. Informática 09
17/03/2026,10:33:30,5,TP-Link_1324,7C:F1:7E:8D:13:22,-75,10,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-77,5,Lab. Informática 09
17/03/2026,10:33:30,5,Intelbras,18:0D:2C:7F:EB:AC,-78,7,Lab. Informática 09
17/03/2026,10:33:30,5,GPDS,00:26:5A:66:55:EF,-79,6,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB,2C:57:41:D4:69:C0,-84,6,Lab. Informática 09
17/03/2026,10:33:30,5,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-84,11,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB-Sala_13,E8:94:F6:B9:2F:46,-85,4,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB-VISITANTE,2C:57:41:D4:69:C2,-85,6,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB,84:F1:47:54:96:E0,-86,1,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB,84:F1:47:54:FD:C0,-87,1,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1,Lab. Informática 09
17/03/2026,10:33:30,5,LIMPEZA,54:E6:FC:CF:22:DE,-87,6,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB-VISITANTE,84:F1:47:54:FD:C2,-88,1,Lab. Informática 09
17/03/2026,10:33:30,5,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-88,10,Lab. Informática 09
17/03/2026,10:33:30,5,IFPB,B8:11:4B:1D:1E:40,-90,6,Lab. Informática 09
17/03/2026,10:33:30,5,motorola one hyper_9136,6A:A5:88:F9:66:CE,-91,1,Lab. Informática 09
17/03/2026,10:33:30,5,UA2-MiniLab,60:32:B1:2D:66:C3,-91,10,Lab. Informática 09
17/03/2026,10:33:30,5,RFA-MG53,06:74:1F:4C:C3:47,-94,1,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-61,2,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB,84:F1:47:54:7F:20,-63,11,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-VISITANTE,84:F1:47:54:7F:22,-63,11,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB TCC,D8:5D:4C:86:7E:66,-65,6,Lab. Informática 09
17/03/2026,10:33:40,6,APTelefonia,58:10:8C:91:F3:AA,-66,1,Lab. Informática 09
17/03/2026,10:33:40,6,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-73,3,Lab. Informática 09
17/03/2026,10:33:40,6,TP-Link_1324,7C:F1:7E:8D:13:22,-74,10,Lab. Informática 09
17/03/2026,10:33:40,6,Intelbras,18:0D:2C:7F:EB:AC,-75,7,Lab. Informática 09
17/03/2026,10:33:40,6,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-80,11,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB,84:F1:47:54:FD:C0,-82,1,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-VISITANTE,84:F1:47:54:FD:C2,-83,1,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-83,5,Lab. Informática 09
17/03/2026,10:33:40,6,GPDS,00:26:5A:66:55:EF,-83,6,Lab. Informática 09
17/03/2026,10:33:40,6,motorola one hyper_9136,6A:A5:88:F9:66:CE,-84,1,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB,2C:57:41:D4:69:C0,-84,6,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-VISITANTE,2C:57:41:D4:69:C2,-85,6,Lab. Informática 09
17/03/2026,10:33:40,6,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-85,10,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-85,11,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB,84:F1:47:54:96:E0,-86,1,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB,B8:11:4B:1D:1E:40,-86,6,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB,E4:4E:2D:85:4C:60,-86,11,Lab. Informática 09
17/03/2026,10:33:40,6,IFPB-Sala_13,E8:94:F6:B9:2F:46,-89,4,Lab. Informática 09
17/03/2026,10:33:40,6,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-91,6,Lab. Informática 09
17/03/2026,10:33:40,6,LIMPEZA,54:E6:FC:CF:22:DE,-91,6,Lab. Informática 09
17/03/2026,10:33:40,6,RFA-MG53,06:74:1F:4C:C3:47,-92,1,Lab. Informática 09
17/03/2026,10:33:40,6,UA2-MiniLab,60:32:B1:2D:66:C3,-94,10,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-60,2,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB,84:F1:47:54:7F:20,-61,11,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB-VISITANTE,84:F1:47:54:7F:22,-61,11,Lab. Informática 09
17/03/2026,10:33:50,7,APTelefonia,58:10:8C:91:F3:AA,-63,1,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB TCC,D8:5D:4C:86:7E:66,-63,6,Lab. Informática 09
17/03/2026,10:33:50,7,Intelbras,18:0D:2C:7F:EB:AC,-70,7,Lab. Informática 09
17/03/2026,10:33:50,7,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-74,3,Lab. Informática 09
17/03/2026,10:33:50,7,TP-Link_1324,7C:F1:7E:8D:13:22,-74,10,Lab. Informática 09
17/03/2026,10:33:50,7,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-81,11,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB,84:F1:47:54:FD:C0,-84,1,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB,2C:57:41:D4:69:C0,-84,6,Lab. Informática 09
17/03/2026,10:33:50,7,UA2-MiniLab,60:32:B1:2D:66:C3,-84,10,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-85,5,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB-VISITANTE,2C:57:41:D4:69:C2,-85,6,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB,E4:4E:2D:85:4C:60,-85,11,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-85,11,Lab. Informática 09
17/03/2026,10:33:50,7,motorola one hyper_9136,6A:A5:88:F9:66:CE,-86,1,Lab. Informática 09
17/03/2026,10:33:50,7,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6,Lab. Informática 09
17/03/2026,10:33:50,7,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-87,6,Lab. Informática 09
17/03/2026,10:33:51,7,IFPB,B8:11:4B:1D:1E:40,-88,6,Lab. Informática 09
17/03/2026,10:33:51,7,IFPB-VISITANTE,84:F1:47:54:96:E2,-89,1,Lab. Informática 09
17/03/2026,10:33:51,7,GPDS,00:26:5A:66:55:EF,-89,6,Lab. Informática 09
17/03/2026,10:33:51,7,IFPB-Sala_13,E8:94:F6:B9:2F:46,-91,4,Lab. Informática 09
17/03/2026,10:33:51,7,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-91,10,Lab. Informática 09
17/03/2026,10:33:51,7,Lab Redes Convergentes,64:70:02:99:FE:F4,-92,11,Lab. Informática 09
17/03/2026,10:34:00,8,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-59,2,Lab. Informática 09
17/03/2026,10:34:00,8,IFPB TCC,D8:5D:4C:86:7E:66,-61,6,Lab. Informática 09
17/03/2026,10:34:00,8,APTelefonia,58:10:8C:91:F3:AA,-62,1,Lab. Informática 09
17/03/2026,10:34:00,8,IFPB,84:F1:47:54:7F:20,-65,11,Lab. Informática 09
17/03/2026,10:34:00,8,IFPB-VISITANTE,84:F1:47:54:7F:22,-65,11,Lab. Informática 09
17/03/2026,10:34:00,8,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-68,3,Lab. Informática 09
17/03/2026,10:34:00,8,Intelbras,18:0D:2C:7F:EB:AC,-70,7,Lab. Informática 09
17/03/2026,10:34:00,8,TP-Link_1324,7C:F1:7E:8D:13:22,-80,10,Lab. Informática 09
17/03/2026,10:34:00,8,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-82,5,Lab. Informática 09
17/03/2026,10:34:00,8,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-82,10,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-82,11,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB-VISITANTE,2C:57:41:D4:69:C2,-83,6,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB,E4:4E:2D:85:4C:60,-83,11,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB,2C:57:41:D4:69:C0,-85,6,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB,B8:11:4B:1D:1E:40,-85,6,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-85,6,Lab. Informática 09
17/03/2026,10:34:01,8,motorola one hyper_9136,6A:A5:88:F9:66:CE,-86,1,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB-Sala_13,E8:94:F6:B9:2F:46,-86,4,Lab. Informática 09
17/03/2026,10:34:01,8,LIMPEZA,54:E6:FC:CF:22:DE,-86,6,Lab. Informática 09
17/03/2026,10:34:01,8,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-86,11,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1,Lab. Informática 09
17/03/2026,10:34:01,8,IFPB,84:F1:47:54:FD:C0,-87,1,Lab. Informática 09
17/03/2026,10:34:01,8,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-87,6,Lab. Informática 09
17/03/2026,10:34:01,8,GPDS,00:26:5A:66:55:EF,-89,6,Lab. Informática 09
17/03/2026,10:34:01,8,UA2-MiniLab,60:32:B1:2D:66:C3,-90,10,Lab. Informática 09
17/03/2026,10:34:10,9,IFPB TCC,D8:5D:4C:86:7E:66,-59,6,Lab. Informática 09
17/03/2026,10:34:10,9,APTelefonia,58:10:8C:91:F3:AA,-64,1,Lab. Informática 09
17/03/2026,10:34:10,9,IFPB,84:F1:47:54:7F:20,-64,11,Lab. Informática 09
17/03/2026,10:34:10,9,IFPB-VISITANTE,84:F1:47:54:7F:22,-64,11,Lab. Informática 09
17/03/2026,10:34:10,9,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-65,2,Lab. Informática 09
17/03/2026,10:34:11,9,Intelbras,18:0D:2C:7F:EB:AC,-69,7,Lab. Informática 09
17/03/2026,10:34:11,9,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-72,3,Lab. Informática 09
17/03/2026,10:34:11,9,TP-Link_1324,7C:F1:7E:8D:13:22,-78,10,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB,E4:4E:2D:85:4C:60,-81,11,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-82,5,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB-VISITANTE,2C:57:41:D4:69:C2,-82,6,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB,2C:57:41:D4:69:C0,-82,6,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-82,11,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB,84:F1:47:54:FD:C0,-83,1,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB,B8:11:4B:1D:1E:40,-86,6,Lab. Informática 09
17/03/2026,10:34:11,9,Lab. de Sinais Digitais,18:D6:C7:F9:37:2F,-86,11,Lab. Informática 09
17/03/2026,10:34:11,9,Gabriel's Galaxy Tab S6 Lite,02:64:44:29:F3:37,-87,6,Lab. Informática 09
17/03/2026,10:34:11,9,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-87,10,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1,Lab. Informática 09
17/03/2026,10:34:11,9,IFPB-Sala_13,E8:94:F6:B9:2F:46,-88,4,Lab. Informática 09
17/03/2026,10:34:11,9,UA2-MiniLab,60:32:B1:2D:66:C3,-88,10,Lab. Informática 09
17/03/2026,10:34:11,9,motorola one hyper_9136,6A:A5:88:F9:66:CE,-89,6,Lab. Informática 09
17/03/2026,10:34:11,9,GPDS,00:26:5A:66:55:EF,-89,6,Lab. Informática 09
17/03/2026,10:34:11,9,RFA-MG53,06:74:1F:4C:C3:47,-90,1,Lab. Informática 09
17/03/2026,10:34:11,9,LIMPEZA,54:E6:FC:CF:22:DE,-91,6,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB TCC,D8:5D:4C:86:7E:66,-61,6,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB-Sala_Professor_14,24:FD:0D:57:19:26,-63,2,Lab. Informática 09
17/03/2026,10:34:21,10,APTelefonia,58:10:8C:91:F3:AA,-66,1,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB,84:F1:47:54:7F:20,-66,11,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB-VISITANTE,84:F1:47:54:7F:22,-66,11,Lab. Informática 09
17/03/2026,10:34:21,10,TP-Link_C3CB,D8:0D:17:3E:C3:CB,-73,3,Lab. Informática 09
17/03/2026,10:34:21,10,Intelbras,18:0D:2C:7F:EB:AC,-73,7,Lab. Informática 09
17/03/2026,10:34:21,10,TP-Link_1324,7C:F1:7E:8D:13:22,-81,10,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-83,11,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB,E4:4E:2D:85:4C:60,-84,11,Lab. Informática 09
17/03/2026,10:34:21,10,motorola one hyper_9136,6A:A5:88:F9:66:CE,-85,6,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB-VISITANTE,2C:57:41:D4:69:C2,-85,6,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB,2C:57:41:D4:69:C0,-85,6,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB-Sala_Professor_14,48:51:CF:81:B0:9E,-86,5,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1,Lab. Informática 09
17/03/2026,10:34:21,10,NUNYA_Room_2.4GHz,CC:32:E5:0C:FC:2B,-87,10,Lab. Informática 09
17/03/2026,10:34:21,10,IFPB,84:F1:47:54:96:E0,-88,1,Lab. Informática 09
17/03/2026,10:34:21,10,LIMPEZA,54:E6:FC:CF:22:DE,-88,6,Lab. Informática 09
