data,hora,num,local,predição
27/04/2026,10:35:13,1,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,2,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,3,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,4,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,5,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,6,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,7,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,8,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,9,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,10,Lab. Informática 09,Lab. Informática 09
27/04/2026,10:35:13,11,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,12,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,13,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,14,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,15,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,16,Sala dos técnicos,Lab. de Instrumentação biomédica
27/04/2026,10:35:13,17,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,18,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,19,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,20,Sala dos técnicos,Sala dos técnicos
27/04/2026,10:35:13,21,Lab. de telecomunicações,Lab. de telecomunicações
27/04/2026,10:35:13,22,Lab. de telecomunicações,Lab. de telecomunicações
27/04/2026,10:35:13,23,Lab. de telecomunicações,PET Eng. Elétrica
27/04/2026,10:35:13,24,Lab. de telecomunicações,Sala dos técnicos
27/04/2026,10:35:13,25,Lab. de telecomunicações,Lab. de telecomunicações
27/04/2026,10:35:13,26,Lab. de telecomunicações,Lab. de telecomunicações
27/04/2026,10:35:13,27,Lab. de telecomunicações,Lab. de telecomunicações
27/04/2026,10:35:13,28,Lab. de telecomunicações,Lab. de telecomunicações
27/04/2026,10:35:13,29,Lab. de telecomunicações,Lab. de telecomunicações
27/04/2026,10:35:13,30,Lab. de telecomunicações,PET Eng. Elétrica
27/04/2026,10:35:13,31,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,32,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,33,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,34,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,35,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,36,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,37,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,38,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,39,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,40,PET Eng. Elétrica,PET Eng. Elétrica
27/04/2026,10:35:13,41,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,42,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,43,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,44,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,45,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,46,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,47,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,48,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,49,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,50,Coordenação de Eng. Elétrica,Coordenação de Eng. Elétrica
27/04/2026,10:35:13,51,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,52,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,53,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,54,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,55,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,56,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,57,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,58,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,59,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,60,Auditório de Eng. Elétrica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,61,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,62,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
27/04/2026,10:35:13,63,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
27/04/2026,10:35:13,64,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,65,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica
27/04/2026,10:35:13,66,Lab. de Instrumentação biomédica,Auditório de Eng. Elétrica
