num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:69:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:97:00,84:f1:47:54:97:02,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
23,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0
24,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-77.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-100.0,-100.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0
25,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-77.0,-77.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-89.0
26,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-79.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-88.0
27,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-100.0,-100.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0
28,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-83.0,-82.0,-100.0,-100.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0
29,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-80.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-81.0,-80.0,-100.0,-100.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
30,PET Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-85.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-81.0,-80.0,-100.0,-100.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0
31,Coordenação de Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-100.0,-100.0,-88.0,-89.0,-100.0,-100.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0
32,Coordenação de Eng. Elétrica,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-79.0,-79.0,-100.0,-100.0,-86.0,-88.0,-100.0,-100.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0
33,Coordenação de Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-100.0,-100.0,-87.0,-86.0,-100.0,-100.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0
34,Coordenação de Eng. Elétrica,-91.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-87.0,-88.0,-100.0,-100.0,-82.0,-83.0,-100.0,-100.0,-100.0,-100.0
35,Coordenação de Eng. Elétrica,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0
36,Coordenação de Eng. Elétrica,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-79.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0
37,Coordenação de Eng. Elétrica,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-78.0,-100.0,-100.0,-86.0,-87.0,-100.0,-100.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0
38,Coordenação de Eng. Elétrica,-89.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-77.0,-100.0,-100.0,-87.0,-86.0,-100.0,-100.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0
39,Coordenação de Eng. Elétrica,-88.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0
40,Coordenação de Eng. Elétrica,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-80.0,-100.0,-100.0,-84.0,-85.0,-100.0,-100.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0
41,Auditório de Eng. Elétrica,-82.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-72.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
42,Auditório de Eng. Elétrica,-81.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-86.0,-87.0,-100.0,-100.0,-100.0,-100.0,-73.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
43,Auditório de Eng. Elétrica,-87.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-74.0,-89.0,-100.0,-88.0,-86.0,-100.0,-100.0,-86.0,-87.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0
44,Auditório de Eng. Elétrica,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-72.0,-90.0,-100.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-73.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
45,Auditório de Eng. Elétrica,-88.0,-87.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-73.0,-100.0,-89.0,-85.0,-84.0,-100.0,-100.0,-88.0,-100.0,-71.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
46,Auditório de Eng. Elétrica,-88.0,-86.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-71.0,-100.0,-100.0,-84.0,-83.0,-100.0,-100.0,-90.0,-89.0,-75.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0
47,Auditório de Eng. Elétrica,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-72.0,-89.0,-90.0,-81.0,-81.0,-100.0,-100.0,-89.0,-89.0,-72.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
48,Auditório de Eng. Elétrica,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-72.0,-91.0,-90.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-75.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0
49,Auditório de Eng. Elétrica,-86.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-69.0,-89.0,-89.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-68.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
50,Auditório de Eng. Elétrica,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-77.0,-100.0,-100.0,-79.0,-80.0,-100.0,-100.0,-100.0,-100.0,-69.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
