num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:9f:fb:80,24:36:da:9f:fb:82,24:36:da:a2:7f:40,24:36:da:a2:7f:42,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:69:c0,2c:57:41:d4:69:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:97:00,84:f1:47:54:97:02,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
54,Auditório de Eng. Elétrica,-87,-88,,,,,,,,,,,,,-73,-73,,,,,,,,,,,-79,-79,,,,-88,,,,,-76,-75,,,,,,,,,,,,
55,Auditório de Eng. Elétrica,,,,,,,,,,,,,,,-80,-81,,,,,,,,,,,-80,-79,,,-86,-86,,,-90,-91,-77,-77,,,,,,,,,,,-88,-88
56,Auditório de Eng. Elétrica,,,,,,,,,,,,,,,-75,-75,,,,,,,,,,,-81,-81,,,-82,-83,,,,,-76,-77,,,,,,,,,,,-90,-89
57,Auditório de Eng. Elétrica,-88,-87,,,,,,,,,,,,,-83,-83,,,,,,,,,,,-81,-81,,,-85,-85,,,,,-71,-71,,,,,,,,,,,,
58,Auditório de Eng. Elétrica,-89,-89,,,,,,,,,,,,,-78,-78,,,,,,,,,,,-83,-83,,,-85,-86,,,-88,-88,-77,-77,,,,,,,,,,,-88,-88
59,Auditório de Eng. Elétrica,-86,-86,,,,,,,,,,,,,-75,-75,,,,,,,,,,,-85,-85,,,-83,-84,,,,,-73,-75,,,,,,,,,,,,
60,Auditório de Eng. Elétrica,,-88,,,,,,,,,,,,,-78,-78,,,,,,,,,,,-82,-82,,,-83,-84,,,,,-79,-79,,,,,,,,,,,-92,-90
61,Lab. de Instrumentação biomédica,,,-81,-81,,,,,,,,,,,-74,-74,,,,,,,,,,,-84,-83,,,-69,-70,,,,,-84,-84,,,,,,,,,,,-78,-78
62,Lab. de Instrumentação biomédica,,,-82,-82,,,,,,,,,,,-77,-77,,,,,,,,,,,-79,-78,,,-70,-70,,,,,,,,,,,,,,,,,-79,-80
63,Lab. de Instrumentação biomédica,,,-85,-82,,,,,,,,,,,-78,-78,,,,,,,,,,,,,,,-71,-71,,,,,-87,-87,,,,,,,,,,,-82,-82
64,Lab. de Instrumentação biomédica,,,-88,-88,,,,,,,,,,,-77,-77,,,,,,,,,,,-87,-87,,,-75,-75,,,,,-86,-86,,,,,,,,,,,-90,-91
