Local,Roteador,Canal,Minimo,Maximo,Quantidade,NumRoteador
Auditório de Eng. Elétrica,00:26:5a:66:55:ef,6,-77,-70,10,Roteador 01
Auditório de Eng. Elétrica,00:e0:4c:65:36:bc,11,-82,-74,10,Roteador 02
Auditório de Eng. Elétrica,18:0d:2c:7f:eb:ac,7,-84,-78,10,Roteador 03
Auditório de Eng. Elétrica,18:d6:c7:f9:37:2f,11,-60,-54,10,Roteador 04
Auditório de Eng. Elétrica,24:36:da:2b:5e:c0,1,-89,-87,5,Roteador 05
Auditório de Eng. Elétrica,24:36:da:2b:5e:c2,1,-88,-87,5,Roteador 05
Auditório de Eng. Elétrica,24:36:da:2b:bc:00,6,-90,-85,9,Roteador 06
Auditório de Eng. Elétrica,24:36:da:2b:bc:02,6,-91,-83,10,Roteador 06
Auditório de Eng. Elétrica,24:fd:0d:57:19:26,5,-94,-77,10,Roteador 07
Auditório de Eng. Elétrica,48:51:cf:81:b0:9e,3,-90,-83,10,Roteador 08
Auditório de Eng. Elétrica,50:c7:bf:ef:56:8a,3,-85,-76,10,Roteador 09
Auditório de Eng. Elétrica,58:10:8c:91:f3:aa,1,-79,-67,10,Roteador 10
Auditório de Eng. Elétrica,60:32:b1:2d:66:c3,10,-83,-77,10,Roteador 11
Auditório de Eng. Elétrica,64:66:b3:62:eb:86,1,-90,-77,10,Roteador 12
Auditório de Eng. Elétrica,7c:f1:7e:8d:13:22,10,-66,-61,10,Roteador 13
Auditório de Eng. Elétrica,84:f1:47:54:6b:80,6,-82,-79,10,Roteador 14
Auditório de Eng. Elétrica,84:f1:47:54:6b:82,6,-83,-79,10,Roteador 14
Auditório de Eng. Elétrica,84:f1:47:54:8b:a0,1,-88,-78,10,Roteador 15
Auditório de Eng. Elétrica,84:f1:47:54:8b:a2,1,-88,-78,10,Roteador 15
Auditório de Eng. Elétrica,84:f1:47:54:95:e0,11,-91,-88,7,Roteador 16
Auditório de Eng. Elétrica,84:f1:47:54:95:e2,11,-90,-88,6,Roteador 16
Auditório de Eng. Elétrica,84:f1:47:54:96:e0,1,-87,-79,10,Roteador 17
Auditório de Eng. Elétrica,84:f1:47:54:96:e2,1,-87,-80,10,Roteador 17
Auditório de Eng. Elétrica,84:f1:47:54:eb:20,6,-90,-87,4,Roteador 18
Auditório de Eng. Elétrica,84:f1:47:54:eb:22,6,-90,-87,6,Roteador 18
Auditório de Eng. Elétrica,84:f1:47:54:f9:80,11,-79,-70,10,Roteador 19
Auditório de Eng. Elétrica,84:f1:47:54:f9:82,11,-79,-70,10,Roteador 19
Auditório de Eng. Elétrica,cc:32:e5:0c:fc:2b,9,-95,-88,8,Roteador 20
Auditório de Eng. Elétrica,d8:0d:17:3e:c3:cb,4,-89,-79,10,Roteador 21
Auditório de Eng. Elétrica,d8:5d:4c:86:7e:66,1,-96,-93,9,Roteador 22
Auditório de Eng. Elétrica,e4:4e:2d:85:4c:60,11,-90,-90,1,Roteador 23
Auditório de Eng. Elétrica,e4:4e:2d:85:4c:62,11,-90,-90,1,Roteador 23
Auditório de Eng. Elétrica,e8:94:f6:b9:2f:46,6,-94,-94,1,Roteador 24
Coordenação de Eng. Elétrica,00:26:5a:66:55:ef,6,-69,-65,10,Roteador 01
Coordenação de Eng. Elétrica,00:e0:4c:65:36:bc,11,-94,-93,3,Roteador 02
Coordenação de Eng. Elétrica,18:0d:2c:7f:eb:ac,7,-78,-73,10,Roteador 03
Coordenação de Eng. Elétrica,18:d6:c7:f9:37:2f,11,-75,-69,10,Roteador 04
Coordenação de Eng. Elétrica,24:36:da:2b:5e:c0,1,-90,-89,2,Roteador 05
Coordenação de Eng. Elétrica,24:36:da:2b:5e:c2,1,-90,-88,4,Roteador 05
Coordenação de Eng. Elétrica,24:fd:0d:57:19:26,5,-80,-66,10,Roteador 07
Coordenação de Eng. Elétrica,48:51:cf:81:b0:9e,3,-69,-62,10,Roteador 08
Coordenação de Eng. Elétrica,50:c7:bf:ef:56:8a,3,-93,-86,10,Roteador 09
Coordenação de Eng. Elétrica,58:10:8c:91:f3:aa,1,-72,-68,10,Roteador 10
Coordenação de Eng. Elétrica,60:32:b1:2d:66:c3,10,-78,-72,10,Roteador 11
Coordenação de Eng. Elétrica,64:66:b3:62:eb:86,1,-88,-72,10,Roteador 12
Coordenação de Eng. Elétrica,7c:f1:7e:8d:13:22,10,-90,-84,8,Roteador 13
Coordenação de Eng. Elétrica,84:f1:47:54:95:e0,11,-64,-56,10,Roteador 16
Coordenação de Eng. Elétrica,84:f1:47:54:95:e2,11,-64,-56,10,Roteador 16
Coordenação de Eng. Elétrica,84:f1:47:54:96:e0,1,-89,-89,3,Roteador 17
Coordenação de Eng. Elétrica,84:f1:47:54:96:e2,1,-89,-88,3,Roteador 17
Coordenação de Eng. Elétrica,84:f1:47:54:f9:80,11,-77,-75,10,Roteador 19
Coordenação de Eng. Elétrica,84:f1:47:54:f9:82,11,-77,-75,10,Roteador 19
Coordenação de Eng. Elétrica,cc:32:e5:0c:fc:2b,9,-70,-63,10,Roteador 20
Coordenação de Eng. Elétrica,d8:0d:17:3e:c3:cb,4,-66,-53,10,Roteador 21
Coordenação de Eng. Elétrica,d8:5d:4c:86:7e:66,1,-91,-80,10,Roteador 22
Coordenação de Eng. Elétrica,e8:94:f6:b9:2f:46,6,-82,-74,10,Roteador 24
Coordenação de Eng. Elétrica,00:27:19:ca:71:d2,11,-95,-90,4,Roteador 25
Coordenação de Eng. Elétrica,54:e6:fc:cf:22:de,6,-96,-96,1,Roteador 26
Coordenação de Eng. Elétrica,84:f1:47:54:fd:c0,1,-90,-82,7,Roteador 27
Coordenação de Eng. Elétrica,84:f1:47:54:fd:c2,1,-92,-86,7,Roteador 27
Coordenação de Eng. Elétrica,b8:11:4b:1d:14:80,6,-83,-79,10,Roteador 28
Coordenação de Eng. Elétrica,b8:11:4b:1d:14:82,6,-81,-79,10,Roteador 28
Coordenação de Eng. Elétrica,d2:c0:bf:a3:e4:0a,6,-90,-90,1,Roteador 29
Coordenação de pós em Eng. Elétrica,00:26:5a:66:55:ef,6,-95,-85,10,Roteador 01
Coordenação de pós em Eng. Elétrica,00:e0:4c:65:36:bc,11,-93,-81,10,Roteador 02
Coordenação de pós em Eng. Elétrica,18:0d:2c:7f:eb:ac,7,-60,-59,10,Roteador 03
Coordenação de pós em Eng. Elétrica,18:d6:c7:f9:37:2f,11,-68,-62,10,Roteador 04
Coordenação de pós em Eng. Elétrica,24:36:da:2b:bc:00,6,-88,-82,10,Roteador 06
Coordenação de pós em Eng. Elétrica,24:36:da:2b:bc:02,6,-87,-81,10,Roteador 06
Coordenação de pós em Eng. Elétrica,24:fd:0d:57:19:26,5,-78,-74,10,Roteador 07
Coordenação de pós em Eng. Elétrica,48:51:cf:81:b0:9e,3,-94,-88,8,Roteador 08
Coordenação de pós em Eng. Elétrica,50:c7:bf:ef:56:8a,3,-94,-86,10,Roteador 09
Coordenação de pós em Eng. Elétrica,58:10:8c:91:f3:aa,1,-60,-50,10,Roteador 10
Coordenação de pós em Eng. Elétrica,60:32:b1:2d:66:c3,10,-88,-82,10,Roteador 11
Coordenação de pós em Eng. Elétrica,64:66:b3:62:eb:86,1,-95,-92,5,Roteador 12
Coordenação de pós em Eng. Elétrica,7c:f1:7e:8d:13:22,10,-71,-64,10,Roteador 13
Coordenação de pós em Eng. Elétrica,84:f1:47:54:eb:20,6,-88,-86,3,Roteador 18
Coordenação de pós em Eng. Elétrica,84:f1:47:54:eb:22,6,-90,-89,3,Roteador 18
Coordenação de pós em Eng. Elétrica,cc:32:e5:0c:fc:2b,9,-95,-91,5,Roteador 20
Coordenação de pós em Eng. Elétrica,d8:5d:4c:86:7e:66,1,-88,-75,10,Roteador 22
Coordenação de pós em Eng. Elétrica,e4:4e:2d:85:4c:60,11,-79,-76,10,Roteador 23
