n_estimators,learning_rate,media_acuracia,desvio_padrao
14,0.4,0.8414583333333333,0.016216578879515723
10,0.4,0.8404166666666667,0.014796067420470585
8,0.4,0.8395833333333332,0.012672421938121296
12,0.5,0.8389583333333335,0.017142934647642282
12,0.6,0.8385416666666667,0.011775902300885476
15,0.5,0.8385416666666666,0.017374300545473623
10,0.5,0.838125,0.01714293464764224
12,0.4,0.8377083333333332,0.01481805158506941
8,0.6,0.8370833333333334,0.0125623445264011
15,0.6,0.83625,0.015651366642494127
14,0.8,0.8362499999999997,0.011569536147428993
10,0.6,0.8347916666666666,0.012095898639162304
15,0.4,0.8343750000000002,0.014957985139865725
8,0.5,0.834375,0.01712266812996414
14,0.5,0.8333333333333333,0.01592081097878567
10,0.7,0.8331250000000001,0.018184767358668336
15,0.8,0.8327083333333334,0.01807944466637305
14,0.6,0.83125,0.01658835769782868
10,0.8,0.8310416666666667,0.013973871948111668
14,0.7,0.8300000000000001,0.013794121131039047
8,0.9,0.8297916666666666,0.013454849910389626
15,0.9,0.8295833333333332,0.016078151151312278
14,1.0,0.8293750000000001,0.013849074878850204
10,0.9,0.8291666666666668,0.011931517552730303
15,0.7,0.8287500000000001,0.012282835810819693
8,0.8,0.8277083333333334,0.02162154757283682
14,0.9,0.8272916666666668,0.01505055139263086
12,0.9,0.8268749999999999,0.01446229532650714
12,1.0,0.8260416666666668,0.01296864541457159
15,1.0,0.8258333333333331,0.015844294451526315
12,0.7,0.8254166666666667,0.017819503983619256
8,1.0,0.8243750000000001,0.014923124765871862
8,0.7,0.8241666666666667,0.014105259066508946
12,0.8,0.8225000000000001,0.014397627119309189
10,1.0,0.8204166666666668,0.009583333333333327
