n_estimators,learning_rate,media_acuracia,desvio_padrao
12,0.4,0.8887499999999999,0.01630333128876153
14,0.4,0.8879166666666667,0.014062114192238547
15,0.4,0.8879166666666667,0.011924240017711852
10,0.4,0.8820833333333334,0.020459139495318225
14,0.9,0.8774999999999998,0.018465433171800306
15,1.0,0.8770833333333334,0.016847972182629813
10,0.8,0.8770833333333332,0.01287628095030204
10,1.0,0.8758333333333335,0.017658016750347588
12,0.9,0.8754166666666668,0.013559283412727528
14,1.0,0.875,0.017078251276599364
12,0.8,0.8745833333333334,0.015017351075783432
8,0.4,0.8741666666666668,0.016853123680130592
8,0.9,0.8741666666666668,0.014883809249576491
15,0.9,0.8725000000000002,0.013462912017836288
14,0.5,0.8724999999999999,0.014215601757693307
10,0.5,0.8724999999999999,0.016051133570215193
8,0.8,0.8724999999999999,0.013462912017836245
8,1.0,0.8720833333333333,0.016088945480256533
15,0.8,0.8704166666666666,0.01717455320460411
10,0.6,0.8704166666666666,0.011629404780794056
12,0.7,0.8699999999999999,0.012190615698606513
12,0.5,0.8699999999999999,0.012747548783981955
10,0.9,0.8695833333333333,0.02045913949531823
14,0.7,0.8683333333333334,0.012801909579781032
14,0.8,0.8683333333333334,0.014092945437739828
15,0.6,0.8670833333333334,0.015695673501531136
15,0.5,0.8666666666666668,0.011486707293408525
15,0.7,0.8666666666666668,0.012076147288491202
14,0.6,0.8666666666666668,0.016457014715109602
12,1.0,0.8654166666666667,0.020116846174288862
8,0.7,0.8633333333333335,0.014288690166235251
12,0.6,0.8625,0.015023130314433305
10,0.7,0.8600000000000001,0.013070322617798493
8,0.5,0.8579166666666668,0.017770723426780113
8,0.6,0.8554166666666667,0.016088945480256522
